datetime,cov(%),sloc
2021-11-17 11:06:09,32%,536
2021-11-19 11:07:27,36%,561
2021-11-19 12:17:45,40%,574
2021-11-19 12:22:55,38%,573
2021-11-19 13:43:21,41%,596
2021-11-19 13:51:56,41%,596
2021-11-19 15:15:14,39%,608
2021-11-19 15:49:25,44%,609
2021-11-21 21:21:04,45%,621
2021-11-21 21:34:48,50%,651
2021-11-21 21:35:47,49%,649
2021-11-21 21:48:28,48%,684
2021-11-21 21:54:16,46%,682
2021-11-21 23:04:51,50%,722
2021-11-22 09:36:43.098567,50%,722
2021-11-22 10:24:46.469873,54%,772
2021-11-22 11:25:07.573888,54%,802
2021-11-22 12:02:51.807584,55%,811
2021-11-22 21:56:35.719078,57%,850
2021-11-23 11:36:10.233601,57%,850
2021-11-23 11:38:04.360627,58%,863
2021-11-23 12:41:37.778214,59%,885
2021-11-23 12:45:38.115609,59%,885
2021-11-23 12:57:57.120812,60%,889
2021-11-23 13:16:27.045669,61%,913
2021-11-23 13:26:16.333708,62%,934
2021-11-23 13:28:43.576094,62%,934
2021-11-24 20:19:26.671140,62%,932
